"device","subject","run_id","energy_consumed","load_time"
"nexus5x","http1042018080wwwofficecomwwwofficecom0indexhtml",1,62.316432,300
"nexus5x","http1042018080wwwofficecomwwwofficecom0indexhtml",2,86.188896,480
"nexus5x","http1042018080wwwofficecomwwwofficecom0indexhtml",3,86.80896,233
"nexus5x","http1042018080wwwofficecomwwwofficecom0indexhtml",4,85.878864,551
"nexus5x","http1042018080wwwofficecomwwwofficecom0indexhtml",5,86.188896,243
"nexus5x","http1042018080wwwofficecomwwwofficecom1indexhtml",1,70.947864,257
"nexus5x","http1042018080wwwofficecomwwwofficecom1indexhtml",2,76.67946,388
"nexus5x","http1042018080wwwofficecomwwwofficecom1indexhtml",3,78.693264,260
"nexus5x","http1042018080wwwofficecomwwwofficecom1indexhtml",4,86.593572,291
"nexus5x","http1042018080wwwofficecomwwwofficecom1indexhtml",5,85.819032,509
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom3indexhtml",1,62.283816,436
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom3indexhtml",2,76.524588,560
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom3indexhtml",3,75.89862,462
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom3indexhtml",4,75.585636,395
"nexus5x","http1042018080wwwbuzzfeedcomwwwbuzzfeedcom3indexhtml",5,62.5968,361
"nexus5x","http1042018080stackexchangecomstackexchangecom0indexhtml",1,61.628688,465
"nexus5x","http1042018080stackexchangecomstackexchangecom0indexhtml",2,76.413348,350
"nexus5x","http1042018080stackexchangecomstackexchangecom0indexhtml",3,77.191488,423
"nexus5x","http1042018080stackexchangecomstackexchangecom0indexhtml",4,76.568976,320
"nexus5x","http1042018080stackexchangecomstackexchangecom0indexhtml",5,63.02934,415
"nexus5x","http1042018080wwwapplecomwwwapplecom1indexhtml",1,65.30328,269
"nexus5x","http1042018080wwwapplecomwwwapplecom1indexhtml",2,78.208452,237
"nexus5x","http1042018080wwwapplecomwwwapplecom1indexhtml",3,86.29362,237
"nexus5x","http1042018080wwwapplecomwwwapplecom1indexhtml",4,83.494908,243
"nexus5x","http1042018080wwwapplecomwwwapplecom1indexhtml",5,84.116844,228
"nexus5x","http1042018080stackexchangecomstackexchangecom3indexhtml",1,61.020324,339
"nexus5x","http1042018080stackexchangecomstackexchangecom3indexhtml",2,74.994444,494
"nexus5x","http1042018080stackexchangecomstackexchangecom3indexhtml",3,79.031412,308
"nexus5x","http1042018080stackexchangecomstackexchangecom3indexhtml",4,74.52864,269
"nexus5x","http1042018080stackexchangecomstackexchangecom3indexhtml",5,75.770784,242
"nexus5x","http1042018080wwwpaypalcomwwwpaypalcomnl1homehtml",1,192.44304,245
"nexus5x","http1042018080wwwpaypalcomwwwpaypalcomnl1homehtml",2,204.85872,444
"nexus5x","http1042018080wwwpaypalcomwwwpaypalcomnl1homehtml",3,204.85872,231
"nexus5x","http1042018080wwwpaypalcomwwwpaypalcomnl1homehtml",4,220.37832,255
"nexus5x","http1042018080wwwpaypalcomwwwpaypalcomnl1homehtml",5,180.02736,288
"nexus5x","http1042018080stackoverflowcomstackoverflowcom2indexhtml",1,61.94232,267
"nexus5x","http1042018080stackoverflowcomstackoverflowcom2indexhtml",2,64.28862,299
"nexus5x","http1042018080stackoverflowcomstackoverflowcom2indexhtml",3,75.70728,336
"nexus5x","http1042018080stackoverflowcomstackoverflowcom2indexhtml",4,75.8637,262
"nexus5x","http1042018080stackoverflowcomstackoverflowcom2indexhtml",5,76.48938,257
"nexus5x","http1042018080wwwbbccomwwwbbccom1indexhtml",1,62.909784,1103
"nexus5x","http1042018080wwwbbccomwwwbbccom1indexhtml",2,76.837572,1116
"nexus5x","http1042018080wwwbbccomwwwbbccom1indexhtml",3,79.654428,485
"nexus5x","http1042018080wwwbbccomwwwbbccom1indexhtml",4,76.211604,347
"nexus5x","http1042018080wwwbbccomwwwbbccom1indexhtml",5,77.933016,436
"nexus5x","http1042018080wwwamazoninwwwamazonin1indexhtml",1,63.496224,326
"nexus5x","http1042018080wwwamazoninwwwamazonin1indexhtml",2,78.903396,665
"nexus5x","http1042018080wwwamazoninwwwamazonin1indexhtml",3,76.724604,268
"nexus5x","http1042018080wwwamazoninwwwamazonin1indexhtml",4,77.347116,431
"nexus5x","http1042018080wwwamazoninwwwamazonin1indexhtml",5,70.0326,470
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa1indexhtml",1,62.305776,275
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa1indexhtml",2,75.201984,246
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa1indexhtml",3,77.221872,289
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa1indexhtml",4,73.02672,263
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa1indexhtml",5,69.297696,253
"nexus5x","http1042018080wwwapplecomwwwapplecom3indexhtml",1,62.233596,416
