"","subject_url","load_time","energy_consumed","opt_level","subject_id","subject_rank"
"372","outlooklivecom",89,75.63024,"0","7","17"
"373","outlooklivecom",26,77.33502,"0","7","17"
"374","outlooklivecom",36,75.47526,"0","7","17"
"375","outlooklivecom",21,65.40156,"0","7","17"
"226","outlooklivecom",78,62.305776,"1","7","17"
"227","outlooklivecom",49,75.201984,"1","7","17"
"228","outlooklivecom",91,77.221872,"1","7","17"
"229","outlooklivecom",66,73.02672,"1","7","17"
"230","outlooklivecom",56,69.297696,"1","7","17"
"646","outlooklivecom",182,62.081208,"1","7","17"
"647","outlooklivecom",39,74.995344,"1","7","17"
"648","outlooklivecom",36,76.084488,"1","7","17"
"649","outlooklivecom",18,70.0164,"1","7","17"
"650","outlooklivecom",48,78.885144,"1","7","17"
"236","outlooklivecom",46,62.21916,"2","7","17"
"237","outlooklivecom",35,74.63196,"2","7","17"
"238","outlooklivecom",28,62.68464,"2","7","17"
"239","outlooklivecom",8,76.95936,"2","7","17"
"240","outlooklivecom",77,76.64904,"2","7","17"
"656","outlooklivecom",73,60.5826,"2","7","17"
"657","outlooklivecom",34,73.94184,"2","7","17"
"658","outlooklivecom",212,82.01952,"2","7","17"
"659","outlooklivecom",196,74.40786,"2","7","17"
"660","outlooklivecom",66,74.25252,"2","7","17"
"166","outlooklivecom",54,60.102648,"3","7","17"
"167","outlooklivecom",9,74.235312,"3","7","17"
"168","outlooklivecom",28,75.477744,"3","7","17"
"169","outlooklivecom",167,66.0042,"3","7","17"
"170","outlooklivecom",190,77.030784,"3","7","17"
"601","outlooklivecom",23,61.923204,"3","7","17"
"602","outlooklivecom",72,75.114864,"3","7","17"
"603","outlooklivecom",56,76.201236,"3","7","17"
"604","outlooklivecom",42,74.649276,"3","7","17"
"605","outlooklivecom",35,76.511628,"3","7","17"
"171","awsamazoncom",117,63.77076,"0","8","38"
"172","awsamazoncom",227,77.89032,"0","8","38"
"173","awsamazoncom",165,75.09744,"0","8","38"
"174","awsamazoncom",111,75.40776,"0","8","38"
"175","awsamazoncom",160,76.8042,"0","8","38"
"606","awsamazoncom",166,64.656684,"0","8","38"
"607","awsamazoncom",141,78.766416,"0","8","38"
"608","awsamazoncom",96,81.557352,"0","8","38"
"609","awsamazoncom",157,71.32392,"0","8","38"
"610","awsamazoncom",84,77.215896,"0","8","38"
"81","awsamazoncom",174,65.100672,"1","8","38"
"82","awsamazoncom",155,69.012972,"1","8","38"
"83","awsamazoncom",125,82.784268,"1","8","38"
"84","awsamazoncom",191,79.497936,"1","8","38"
"85","awsamazoncom",251,79.184952,"1","8","38"
"516","awsamazoncom",104,62.450136,"1","8","38"
"517","awsamazoncom",230,66.810744,"1","8","38"
"518","awsamazoncom",92,80.359776,"1","8","38"
"519","awsamazoncom",182,77.400792,"1","8","38"
"520","awsamazoncom",261,80.20404,"1","8","38"
"326","awsamazoncom",132,61.59852,"2","8","38"
"327","awsamazoncom",155,76.0284,"2","8","38"
"328","awsamazoncom",263,77.58,"2","8","38"
"329","awsamazoncom",176,76.64904,"2","8","38"
"330","awsamazoncom",286,77.26968,"2","8","38"
"766","awsamazoncom",293,63.120816,"2","8","38"
