"subject_url","load_time","energy_consumed","opt_level","subject_id","subject_rank"
"officecom",252,85.340952,"2","9","42"
"officecom",235,71.284536,"2","9","42"
"officecom",523,87.125544,"2","9","42"
"officecom",423,71.595144,"2","9","42"
"officecom",250,78.117912,"2","9","42"
"officecom",305,86.038416,"2","9","42"
"officecom",404,60.875388,"3","9","42"
"officecom",316,71.360352,"3","9","42"
"officecom",242,76.524588,"3","9","42"
"officecom",324,75.429144,"3","9","42"
"officecom",264,76.994064,"3","9","42"
"officecom",552,62.7471,"3","9","42"
"officecom",272,76.1373,"3","9","42"
"officecom",263,76.7601,"3","9","42"
"officecom",270,75.5145,"3","9","42"
"officecom",303,76.6044,"3","9","42"
"buzzfeedcom",458,61.68204,"0","10","43"
"buzzfeedcom",357,74.54538,"0","10","43"
"buzzfeedcom",410,77.02506,"0","10","43"
"buzzfeedcom",465,74.54538,"0","10","43"
"buzzfeedcom",498,76.56012,"0","10","43"
"buzzfeedcom",1155,64.489536,"0","10","43"
"buzzfeedcom",467,75.603024,"0","10","43"
"buzzfeedcom",349,71.376768,"0","10","43"
"buzzfeedcom",417,76.855248,"0","10","43"
"buzzfeedcom",360,77.637888,"0","10","43"
"buzzfeedcom",424,62.742816,"1","10","43"
"buzzfeedcom",382,75.943656,"1","10","43"
"buzzfeedcom",1012,76.564872,"1","10","43"
"buzzfeedcom",434,76.564872,"1","10","43"
"buzzfeedcom",460,77.807304,"1","10","43"
"buzzfeedcom",428,62.21916,"1","10","43"
"buzzfeedcom",464,75.40776,"1","10","43"
"buzzfeedcom",386,76.8042,"1","10","43"
"buzzfeedcom",427,75.71808,"1","10","43"
"buzzfeedcom",573,76.64904,"1","10","43"
"buzzfeedcom",466,62.454672,"2","10","43"
"buzzfeedcom",498,77.168304,"2","10","43"
"buzzfeedcom",505,79.359696,"2","10","43"
"buzzfeedcom",402,74.037744,"2","10","43"
"buzzfeedcom",466,74.976912,"2","10","43"
"buzzfeedcom",451,62.9028,"2","10","43"
"buzzfeedcom",575,79.7184,"2","10","43"
"buzzfeedcom",537,76.4487,"2","10","43"
"buzzfeedcom",400,76.6044,"2","10","43"
"buzzfeedcom",600,77.0715,"2","10","43"
"buzzfeedcom",436,62.283816,"3","10","43"
"buzzfeedcom",560,76.524588,"3","10","43"
"buzzfeedcom",462,75.89862,"3","10","43"
"buzzfeedcom",395,75.585636,"3","10","43"
"buzzfeedcom",361,62.5968,"3","10","43"
"buzzfeedcom",490,64.906452,"3","10","43"
"buzzfeedcom",386,78.22854,"3","10","43"
"buzzfeedcom",422,76.67946,"3","10","43"
"buzzfeedcom",451,75.90492,"3","10","43"
"buzzfeedcom",394,77.299092,"3","10","43"
"nlgodaddycom",450,66.33018,"0","11","52"
"nlgodaddycom",518,81.39816,"0","11","52"
"nlgodaddycom",351,80.7768,"0","11","52"
"nlgodaddycom",512,77.82534,"0","11","52"
"nlgodaddycom",402,76.73796,"0","11","52"
"nlgodaddycom",303,67.991616,"0","11","52"
"nlgodaddycom",358,79.634016,"0","11","52"
"nlgodaddycom",313,79.94448,"0","11","52"
"nlgodaddycom",314,81.186336,"0","11","52"
"nlgodaddycom",340,78.39216,"0","11","52"
"nlgodaddycom",609,65.2383,"1","11","52"
"nlgodaddycom",340,79.2513,"1","11","52"
"nlgodaddycom",273,64.9269,"1","11","52"
"nlgodaddycom",307,88.2819,"1","11","52"
"nlgodaddycom",345,82.521,"1","11","52"
"nlgodaddycom",369,65.046996,"1","11","52"
"nlgodaddycom",352,77.370048,"1","11","52"
"nlgodaddycom",288,77.682024,"1","11","52"
"nlgodaddycom",411,80.957772,"1","11","52"
"nlgodaddycom",423,57.247596,"1","11","52"
"nlgodaddycom",392,65.25792,"2","11","52"
"nlgodaddycom",346,74.58048,"2","11","52"
"nlgodaddycom",693,82.038528,"2","11","52"
"nlgodaddycom",453,77.843376,"2","11","52"
"nlgodaddycom",275,80.484768,"2","11","52"
"nlgodaddycom",439,64.48104,"2","11","52"
"nlgodaddycom",472,76.600368,"2","11","52"
"nlgodaddycom",332,77.377248,"2","11","52"
"nlgodaddycom",346,72.405216,"2","11","52"
"nlgodaddycom",421,81.5724,"2","11","52"
"nlgodaddycom",429,65.428704,"3","11","52"
"nlgodaddycom",618,79.672752,"3","11","52"
"nlgodaddycom",306,79.359696,"3","11","52"
"nlgodaddycom",299,80.298864,"3","11","52"
"nlgodaddycom",384,81.081504,"3","11","52"
"nlgodaddycom",605,63.82224,"3","11","52"
"nlgodaddycom",332,76.898016,"3","11","52"
"nlgodaddycom",375,75.49704,"3","11","52"
"nlgodaddycom",347,80.478288,"3","11","52"
"nlgodaddycom",310,80.322624,"3","11","52"
"mozillaorg",351,62.108748,"0","13","56"
"mozillaorg",283,75.054492,"0","13","56"
"mozillaorg",288,74.592144,"0","13","56"
"mozillaorg",268,73.359216,"0","13","56"
"mozillaorg",276,62.725212,"0","13","56"
"mozillaorg",608,65.586996,"0","13","56"
"mozillaorg",447,75.20022,"0","13","56"
"mozillaorg",338,78.30126,"0","13","56"
"mozillaorg",289,80.937144,"0","13","56"
"mozillaorg",286,77.060844,"0","13","56"
"mozillaorg",242,63.55656,"1","13","56"
"mozillaorg",600,76.73292,"1","13","56"
"mozillaorg",271,77.197968,"1","13","56"
"mozillaorg",346,75.95784,"1","13","56"
"mozillaorg",270,77.042952,"1","13","56"
"mozillaorg",277,63.051768,"1","13","56"
"mozillaorg",246,78.540912,"1","13","56"
"mozillaorg",446,76.66344,"1","13","56"
"mozillaorg",246,79.636104,"1","13","56"
"mozillaorg",284,81.826488,"1","13","56"
"mozillaorg",272,61.782336,"2","13","56"
"mozillaorg",329,77.305536,"2","13","56"
"mozillaorg",332,75.753216,"2","13","56"
"mozillaorg",253,77.926464,"2","13","56"
"mozillaorg",298,76.218912,"2","13","56"
"mozillaorg",271,62.89812,"2","13","56"
"mozillaorg",318,78.583824,"2","13","56"
"mozillaorg",284,66.0042,"2","13","56"
"mozillaorg",325,77.030784,"2","13","56"
"mozillaorg",299,76.87548,"2","13","56"
"mozillaorg",500,62.7669,"3","13","56"
"mozillaorg",277,79.96968,"3","13","56"
"mozillaorg",287,80.27964,"3","13","56"
"mozillaorg",301,66.95136,"3","13","56"
"mozillaorg",331,79.0398,"3","13","56"
"mozillaorg",312,62.0064,"3","13","56"
"mozillaorg",287,77.508,"3","13","56"
"mozillaorg",304,76.112856,"3","13","56"
"mozillaorg",295,76.577904,"3","13","56"
"mozillaorg",262,76.112856,"3","13","56"
"stackoverflowcom",298,62.85438,"0","15","67"
"stackoverflowcom",347,76.666824,"0","15","67"
"stackoverflowcom",314,78.684372,"0","15","67"
"stackoverflowcom",263,77.287608,"0","15","67"
"stackoverflowcom",362,77.442804,"0","15","67"
"stackoverflowcom",269,62.113032,"0","15","67"
"stackoverflowcom",309,75.255336,"0","15","67"
"stackoverflowcom",249,93.247776,"0","15","67"
"stackoverflowcom",254,75.411792,"0","15","67"
